title,content,category,sub_category,content_index
Phần giới thiệu,"Trường Đại học Sư phạm Kỹ thuật TP. Hồ Chí Minh là trường Đại học công lập trực thuộc Bộ Giáo dục và Đào tạo, nằm ở TP. Thủ Đức cửa ngõ phía bắc của TP. Hồ Chí Minh, ngay cạnh xa lộ Hà Nội đi các tỉnh miền Đông, miền Trung và miền Bắc. Trường cách trung tâm thành phố khoảng 12 km, phương tiện đi lại, giao thông rất thuận tiện…",THÔNG TIN CHUNG,Phần giới thiệu,0
Ưu thế của trường Đại học Sư phạm Kỹ thuật TP. Hồ Chí Minh,"Đặc điểm nổi bật trong quá trình đào tạo của trường là: SV tốt nghiệp vừa có kiến thức lý thuyết chuyên sâu đồng thời có tay nghề khá vững (vì trong 4 hoặc 4,5 năm đào tạo, SV có nhiều thời gian học tại phòng thí nghiệm, xưởng thực tập). SV SPKT vừa làm được vừa thuyết trình được vì không những giỏi về chuyên môn mà còn vững vàng về kỹ năng sư phạm. Ưu thế của SV ĐH SPKT Tp. Hồ Chí Minh trong tìm việc là ứng xử, thao diễn các tình huống kỹ thuật công nghệ nhanh & thành thạo. Mức độ hài lòng của các nhà tuyển dụng với SV tốt nghiệp từ ĐH SPKT Tp. Hồ Chí Minh rất cao.",THÔNG TIN CHUNG,Ưu thế của trường Đại học Sư phạm Kỹ thuật TP. Hồ Chí Minh,1
10 lý do để bạn nên theo học tại HCMUTE,"Trường Công lập với bề dày lịch sử trên 60 năm, thương hiệu hàng đầu phía Nam. 
Tỷ lệ có việc làm đúng chuyên ngành đào tạo rất cao, trên 90%. Được các tập đoàn, doanh nghiệp hàng đầu ưu tiên tuyển dụng.
Chương trình đào tạo đạt chuẩn quốc tế và khu vực, các chương trình liên kết quốc tế, đáp ứng xu thế hội nhập và đào tạo công dân toàn cầu.
Đội ngũ giảng viên được đào tạo bài bản, trình độ cao, nhiều kinh nghiệm thực tiễn, tận tâm. CBVC phục vụ chuyên nghiệp, chu đáo.
Phòng học, phòng Lab/thực tập tiên tiến, đầy đủ, đa dạng; 100% được trang bị máy lạnh.
Đầy ắp các sân chơi học thuật, câu lạc bộ nghiên cứu khoa học, sáng tạo - khởi nghiệp.
Các hoạt động văn thể mỹ đa dạng, hấp dẫn giúp sinh viên phát triển toàn diện.
Với triết lý giáo dục Nhân Bản, Trường dành quỹ học bổng lớn hỗ trợ sinh viên. Không để sinh viên phải bỏ học vì không có tiền đóng học phí.
Khuôn viên Trường trên 17 hecta - xanh - sạch - đẹp; là nơi lý tưởng để sinh viên học tập, nghiên cứu và phát triển bản thân.
Vị trí Trường đắc địa: trung tâm Thành phố Thủ Đức, kế bên ga tàu Metro, sát bên Khu Công nghệ Cao Tp. HCM, cộng đồng dân cư bên ngoài trường sạch đẹp, dân trí cao.
",THÔNG TIN CHUNG,10 lý do để bạn nên theo học tại HCMUTE,2
Đối tượng tuyển sinh,"Học sinh của tất cả các trường Trung học phổ thông (THPT) trên cả nước.
",THÔNG TIN VỀ TUYỂN SINH HỆ ĐẠI HỌC CHÍNH QUY,Đối tượng tuyển sinh,0
THÔNG TIN VỀ TUYỂN SINH HỆ ĐẠI HỌC CHÍNH QUY,"Tuyển thẳng và ưu tiên xét tuyển: Nhận hồ sơ đăng ký từ ngày 01/4 – 30/5/2025 tại http://xettuyen.hcmute.edu.vn
+ Tuyển thẳng theo quy chế của Bộ GD&ĐT.
+ Ưu tiên xét tuyển theo Đề án tuyển sinh của trường (Xét tuyển thí sinh các Trường THPT có ký kết hợp tác)
* Trường Tổ chức thi các môn năng khiếu để xét tuyển vào 4 ngành: Thiết kế thời trang; Thiết kế đồ họa; Kiến trúc; Kiến trúc nội thất. Nhận hồ sơ đăng ký thi môn năng khiếu từ ngày 01/4 – 30/5/2025 tại http://xettuyen.hcmute.edu.vn
Để tăng khả năng trúng tuyển, thí sinh được khuyến nghị đăng ký nhiều phương thức và nhiều nguyện vọng (các nguyện vọng được xét theo thứ tự ưu tiên; nguyện vọng 1 là ưu tiên cao nhất).
Kinh nghiệm qua các năm: mỗi thí sinh đăng ký từ 5 - 7 nguyện vọng, trong đó nguyện vọng từ 1 - 3 nên chọn ĐH SPKT TP. HCM; mỗi mã ngành chỉ đăng ký một tổ hợp có điểm cao nhất. 
Thông tin chi tiết xem tại website: http://tuyensinh.hcmute.edu.vn; nhấn Like vào trang Facebook: Tuyển sinh Đại học Sư Phạm Kỹ thuật Tp HCM để luôn được cập nhật thông tin. 
",Phương thức xét tuyển,Tuyển thẳng và ưu tiên xét tuyển,0
Xét tuyển theo lịch chung của Bộ GD&ĐT,"Xét tuyển theo lịch chung của Bộ GD&ĐT
+ Phương thức 1: Xét tuyển theo kết quả điểm thi tốt nghiệp THPT năm 2025; theo các tổ hợp môn xét tuyển của từng ngành học. 
+ Phương thức 2: Xét tuyển học bạ THPT, tốt nghiệp năm 2025 dựa vào điểm trung bình học bạ 6 học kỳ của từng môn theo tổ hợp (có 3 môn). 
+ Phương thức 3: Xét tuyển thí sinh theo kết quả kỳ thi đánh giá năng lực của Đại học Quốc gia TP. Hồ Chí Minh năm 2025.
* Trường Tổ chức thi các môn năng khiếu để xét tuyển vào 4 ngành: Thiết kế thời trang; Thiết kế đồ họa; Kiến trúc; Kiến trúc nội thất. Nhận hồ sơ đăng ký thi môn năng khiếu từ ngày 01/4 – 30/5/2025 tại http://xettuyen.hcmute.edu.vn
Để tăng khả năng trúng tuyển, thí sinh được khuyến nghị đăng ký nhiều phương thức và nhiều nguyện vọng (các nguyện vọng được xét theo thứ tự ưu tiên; nguyện vọng 1 là ưu tiên cao nhất).
Kinh nghiệm qua các năm: mỗi thí sinh đăng ký từ 5 - 7 nguyện vọng, trong đó nguyện vọng từ 1 - 3 nên chọn ĐH SPKT TP. HCM; mỗi mã ngành chỉ đăng ký một tổ hợp có điểm cao nhất. 
Thông tin chi tiết xem tại website: http://tuyensinh.hcmute.edu.vn; nhấn Like vào trang Facebook: Tuyển sinh Đại học Sư Phạm Kỹ thuật Tp HCM để luôn được cập nhật thông tin. ",Phương thức xét tuyển,Xét tuyển theo lịch chung của Bộ GD&ĐT,1
Quy đổi điểm tiếng Anh,"Thí sinh có chứng chỉ IELTS và tương đương từ 4.5 trở lên có thể sử dụng để quy đổi điểm tiếng Anh để xét tuyển các tổ hợp có môn tiếng Anh thông qua hệ thống quy đổi của Nhà trường (áp dụng cho: ưu tiên xét tuyển, xét tuyển bằng học bạ THPT, điểm thi tốt nghiệp THPT 2024).
",Quy đổi điểm tiếng Anh,Quy đổi điểm tiếng Anh,0
Bảng quy đổi chi tiết,"```markdown
| IELTS    | 4.5   | 5.0   | 5.5   | 6.0   | 6.5   | >= 7.0 |
|----------|-------|-------|-------|-------|-------|--------|
| Điểm tiếng Anh quy đổi cho các ngành | 7,5  | 8,0  | 8,5  | 9,0  | 9,5  | 10    |",Quy đổi điểm tiếng Anh,Bảng quy đổi chi tiết,1
Chính sách khuyến khích tài năng,"Năm 2025 Trường dành 60 tỷ đồng để cấp học bổng cho sinh viên. 
+  Cấp học bổng khuyến tài cho thí sinh trúng tuyển có tổng điểm thi THPT 2025 (không tính điểm ưu tiên, điểm thưởng) của 3 môn xét tuyển từ 26 điểm trở lên; mỗi điểm thưởng 1.000.000đ; mỗi ngành chọn 1 thí sinh có điểm cao nhất.                                          
+  Cấp học bổng học kỳ đầu tiên, các học kỳ tiếp theo thì căn cứ vào kết quả học tập của học kỳ trước đó để cấp học bổng:
- Có giá trị bằng 50% học phí cho thí sinh nữ học các ngành kỹ thuật (*).
- Có giá trị bằng 20% học phí cho thí sinh có anh, chị em ruột đã hoặc đang học tại trường.
+ Ngành Sư phạm Anh và Ngành Sư phạm Công nghệ: Miễn học phí trong 4 năm học và còn được nhận tiền sinh hoạt phí 3,6 triệu đồng/tháng.",Chính sách khuyến khích tài năng,Chính sách khuyến khích tài năng,0
Các ngành đào tạo năm 2025 học tại trường ĐH SPKT TP. HCM,"```markdown
| TT | Tên ngành đào tạo \n Cấp học bổng học kỳ 1 năm học đầu tiên: bằng 50% học phí cho nữ học 6 ngành kỹ thuật (*) | Chương trình Đào tạo bằng tiếng Việt | Chương trình Đào tạo bằng tiếng Anh | Chương trình Việt - Nhật | Tổ hợp môn xét tuyển dự kiến (in đậm là môn chính nhân hệ số 2) |
|----|--------------------|------------------------------------------------------------------------------------------------|--------------------------------------|--------------------------------------|--------------------------|----------------------------------------------------------------------------------------|
| 1  | Công nghệ Kỹ thuật điện, điện tử | 7510301V | 7510301A | | | **Toán** – Lý – Hóa; **Toán** – Lý – Anh; **Toán** – Văn – Anh; **Toán** – Anh – Công nghệ Công nghiệp; **Toán** – Văn – Lý. |
| 2  | Công nghệ Kỹ thuật điện tử - viễn thông | 7510302V | 7510302A | 7510302N | | |
| 3  | Công nghệ Kỹ thuật máy tính | 7480108V | 7480108A | | | |
| 4  | Công nghệ Kỹ thuật điều khiển và tự động hóa | 7510303V | 7510303A | | | |
| 5  | Kỹ thuật y sinh (Điện tử y sinh) | 7520212V | 7520212A | | | |
| 6  | Hệ thống nhúng và IoT | 7480118V | | | | |
| 7  | Chương trình đào tạo Kỹ thuật Thiết kế vi mạch (thuộc ngành CNKT Điện tử - viễn thông) | 7510302KTVM | | | | |
| 8  | Robot và trí tuệ nhân tạo | 7510209V | | | | |
| 9  | Công nghệ chế tạo máy * | 7510202V | 7510202A | 7510202N | | |
| 10 | Công nghệ Kỹ thuật cơ điện tử * | 7510203V | 7510203A | | | |
| 11 | Công nghệ Kỹ thuật cơ khí * | 7510201V | 7510201A | | | |
| 12 | Kỹ thuật công nghiệp | 7520117V | | | | |
| 13 | Kỹ nghệ gỗ và nội thất | 7549002V | | | | |
| 14 | Công nghệ Kỹ thuật công trình xây dựng* | 7510102V | 7510102A | | | |
| 15 | Kỹ thuật xây dựng công trình giao thông * | 7580205V | | | | |
| 16 | Quản lý xây dựng | 7580302V | | | | |
| 17 | Hệ thống kỹ thuật công trình xây dựng | 7510106V | | | | |
| 18 | Quản lý và vận hành hạ tầng | 7840110V | | | | |
| 19 | Công nghệ Kỹ thuật ô tô * | 7510205V | 7510205A | 7510205N | | |
| 20 | Công nghệ Kỹ thuật nhiệt | 7510206V | 7510206A | 7510206N | | |
| 21 | Năng lượng tái tạo | 7510208V | | | | |
| 22 | Công nghệ thông tin | 7480201V | 7480201A | 7480201N | | |
| 23 | An toàn thông tin | 7480202V | | | | |
| 24 | Kỹ thuật dữ liệu | 7480203V | | | | |
| 25 | Quản lý công nghiệp | 7510601V | 7510601A | | | |
| 26 | Kế toán | 7340301V | 7340301A | | | |
| 27 | Thương mại điện tử | 7340122V | | | | |
| 28 | Logistics và quản lý chuỗi cung ứng | 7510605V | | | | |
| 29 | Kinh doanh Quốc tế | 7340120V | | | | |
| 30 | Công nghệ Kỹ thuật in | 7510801V | | | | |
| 31 | Sư phạm công nghệ | 7140246V | | | | |
| 32 | Công nghệ may | 7540209V | | | | (Toán – Lý – Hóa); (Toán – Văn – Anh); (Toán – Văn – Lý); (Toán – Lý – Anh); Toán – Anh – Công nghệ Công nghiệp. |
| 33 | Tâm lý học giáo dục | 7310403V | | | | (Văn – Toán – Anh); (Văn – Sử – Địa); (Văn – Anh – GDKT&PL); (Văn – Sử – GDKT&PL); (Văn – Sử – Anh). |
| 34 | Luật | 7380101V | | | | (Văn – Toán – Anh); (Văn – Sử – Địa); (Văn – Toán – GDKT&PL); (Văn – Anh – GDKT&PL); (Toán – Lý – Hóa). |
| 35 | Thiết kế đồ họa | 7210403V | | | | (Văn – Vẽ ĐT – Vẽ TT); (Toán – Văn – Vẽ TT); (Văn – Lý – Vẽ TT); (Văn – Anh – Vẽ TT); (Toán – Anh – Vẽ TT). |
| 36 | Kiến trúc | 7580101V | | | | (Toán – Văn – Vẽ ĐT); (Toán – Lý – Vẽ ĐT); (Toán – Anh – Vẽ ĐT); (Toán – Sử – Vẽ ĐT); (Văn – Anh – Vẽ ĐT) |
| 37 | Kiến trúc nội thất | 7580103V | | | | |
| 38 | Công nghệ vật liệu | 7510402V | 7510402A | | | (Toán – Lý – Hóa); (Toán – Lý – Anh); (Toán – Hóa – Anh); (Toán – Anh – Công nghệ Công nghiệp). |
| 39 | Công nghệ Kỹ thuật môi trường | 7510406V | | | | (Hóa – Toán – Lý); (Hóa – Toán – Sinh); (Hóa – Toán – Anh); (Hóa – Toán – Công nghệ Công nghiệp); (Toán – Anh – Công nghệ Công nghiệp). |
| 40 | Công nghệ thực phẩm | 7540101V | 7540101A | | | |
| 41 | Công nghệ Kỹ thuật hóa học | 7510401V | 7510401A | | | |
| 42 | Quản trị NH và DV ăn uống | 7810202V | | | | (Toán – Lý – Hóa); (Toán – Văn – Anh); (Toán – Lý – Anh); (Toán – Hóa – Văn); (Toán – Hóa – Anh). |
| 43 | Thiết kế thời trang | 7210404V | | | | (Sử – Văn – Vẽ TT); (Toán – Văn – Vẽ TT); (Anh – Văn – Vẽ TT); (Văn – Vẽ ĐT, Vẽ TT); (Toán – Vẽ ĐT – Vẽ TT); |
| 44 | Sư phạm tiếng Anh | 7140231V | | | | (Anh – Văn – Toán); (Anh – Toán – Tin); (Anh – Toán – Sử); (Anh – Toán – Địa). |",Các ngành đào tạo năm 2025 học tại trường ĐH SPKT TP. HCM,Các ngành đào tạo năm 2025 học tại trường ĐH SPKT TP. HCM,0
